[07/05/2021][2:10] joe4 | STD | 64.94.238.17 | Port: 21 | Secs: 10 | Internap Network Services Corporation
[07/05/2021][2:14] joe4 | SYN | 1.1.1.1 | Port: 80 | Secs: 4 | Cloudflare
[07/05/2021][9:26] m68k | Server | 74.73.73.74 | Port: 80 | Secs: 15 | Charter Communications
[07/05/2021][9:26] m68k | STD | 74.73.73.74 | Port: 80 | Secs: 20 | Charter Communications
[07/05/2021][9:35] m68k | UDP | 74.73.73.74 | Port: 80 | Secs: 60 | Charter Communications
[07/05/2021][11:20] m68k | UDP | 70.70.70.3 | Port: 80 | Secs: 20 | Shaw Communications Inc.
[07/05/2021][11:24] m68k | UDP | 74.86.12.32 | Port: 80 | Secs: 21 | SoftLayer
[07/05/2021][16:35] m68k | UDP | 70.70.70.3 | Port: 80 | Secs: 20 | Shaw Communications Inc.
[07/05/2021][16:37] m68k | UDP | 1.1.1.1 | Port: 80 | Secs: 10 | Cloudflare
[08/05/2021][7:27] m68k | UDP | 70.70.70.3 | Port: 80 | Secs: 20 | Shaw Communications Inc.
[08/05/2021][9:22] m68k | STD | 70.70.70.3 | Port: 80 | Secs: 20 | Shaw Communications Inc.
[08/05/2021][12:15] Karma2k21 | UDP | 45.146.252.10 | Port: 30202 | Secs: 500 | ZAP-Hosting GmbH \u0026 Co. KG
[08/05/2021][12:24] Karma2k21 | UDP | 82.76.215.241 | Port: 80 | Secs: 15 | org
[08/05/2021][12:28] Karma2k21 | UDP | 82.76.215.241 | Port: 80 | Secs: 200 | org
[08/05/2021][12:34] Karma2k21 | UDP | 134.255.232.99 | Port: 30120 | Secs: 60 | combahton GmbH
[08/05/2021][12:41] Karma2k21 | UDP | 37.228.215.55 | Port: 80 | Secs: 30 | NTL Ireland
[08/05/2021][12:43] Karma2k21 | UDP | 79.119.240.164 | Port: 80 | Secs: 30 | org
[08/05/2021][15:56] Karma2k21 | UDP | 82.76.215.241 | Port: 80 | Secs: 15 | org
[08/05/2021][15:58] Karma2k21 | UDP | 46.105.185.58 | Port: 80 | Secs: 30 | OVH SAS
[08/05/2021][16:0] Karma2k21 | UDP | 45.146.252.10 | Port: 30202 | Secs: 30 | ZAP-Hosting GmbH \u0026 Co. KG
[08/05/2021][16:11] Karma2k21 | UDP | 195.20.40.137 | Port: 80 | Secs: 30 | OpenTLD Web Network
[08/05/2021][16:20] Karma2k21 | UDP | 2.223.219.18 | Port: 80 | Secs: 30 | Sky UK Limited
[08/05/2021][16:25] Karma2k21 | UDP | 195.20.40.137 | Port: 80 | Secs: 60 | OpenTLD Web Network
[08/05/2021][16:28] Karma2k21 | UDP | 217.182.182.64 | Port: 30121 | Secs: 120 | OVH SAS
[08/05/2021][16:35] Karma2k21 | UDP | 5.13.41.208 | Port: 80 | Secs: 30 | org
[08/05/2021][16:37] Karma2k21 | UDP | 5.13.41.208 | Port: 80 | Secs: 30 | org
